FACILITY_TYPE,EXTERNAL_FACILITY_ID,FACILITY_NAME,LAT,LON,METRIC:MMI:GREEN,METRIC:MMI:YELLOW,METRIC:MMI:RED
CITY,101088,"Napa, CA (pop. 72K)",38.297,-122.284,1,5,7
CITY,100108,"Baker, CA (pop. 1K)",35.267,-116.1,1,5,7
CITY,100308,"Chico, CA (pop. 59K)",39.729,-121.836,1,5,7
CITY,100412,"Davis, CA (pop. 60K)",38.545,-121.739,1,5,7
CITY,100706,"Hemet, CA (pop. 58K)",33.748,-116.971,1,5,7
CITY,100758,"Indio, CA (pop. 49K)",33.721,-116.215,1,5,7
CITY,101577,"Ukiah, CA (pop. 15K)",39.15,-123.207,1,5,7
CITY,101708,"Yreka, CA (pop. 7.2K)",41.736,-122.633,1,5,7
CITY,100094,"Auburn, CA (pop. 12K)",38.897,-121.076,1,5,7
CITY,100104,"Avenal, CA (pop. 14K)",36.004,-120.128,1,5,7
CITY,100165,"Bishop, CA (pop. 3.5K)",37.364,-118.394,1,5,7
CITY,100178,"Blythe, CA (pop. 12K)",33.61,-114.596,1,5,7
CITY,100376,"Corona, CA (pop. 124K)",33.875,-117.566,1,5,7
CITY,100421,"Delano, CA (pop. 38K)",35.769,-119.246,1,5,7
CITY,100517,"Eureka, CA (pop. 26K)",40.802,-124.162,1,5,7
CITY,100549,"Folsom, CA (pop. 51K)",38.678,-121.175,1,5,7
CITY,100590,"Fresno, CA (pop. 427K)",36.748,-119.771,1,5,7
CITY,100616,"Gilroy, CA (pop. 41K)",37.006,-121.567,1,5,7
CITY,100765,"Irvine, CA (pop. 143K)",33.669,-117.822,1,5,7
CITY,100915,"Lompoc, CA (pop. 41K)",34.639,-120.457,1,5,7
CITY,100938,"Madera, CA (pop. 43K)",36.961,-120.06,1,5,7
CITY,101007,"Merced, CA (pop. 63K)",37.302,-120.482,1,5,7
CITY,101199,"Oxnard, CA (pop. 170K)",34.198,-119.176,1,5,7
CITY,101305,"Ramona, CA (pop. 15K)",33.033,-116.867,1,5,7
CITY,101460,"Sonora, CA (pop. 4.4K)",37.984,-120.381,1,5,7
CITY,100041,"Alturas, CA (pop. 2.8K)",41.487,-120.541,1,5,7
CITY,100063,"Antioch, CA (pop. 90K)",38.005,-121.805,1,5,7
CITY,100114,"Banning, CA (pop. 23K)",33.926,-116.876,1,5,7
CITY,100119,"Barstow, CA (pop. 21K)",34.917,-117.017,1,5,7
CITY,100198,"Brawley, CA (pop. 22K)",32.979,-115.529,1,5,7
CITY,100327,"Clayton, CA (pop. 10K)",37.941,-121.935,1,5,7
CITY,100363,"Concord, CA (pop. 121K)",37.978,-122.03,1,5,7
CITY,100572,"Fortuna, CA (pop. 10K)",40.598,-124.156,1,5,7
CITY,100586,"Fremont, CA (pop. 203K)",37.533,-121.95,1,5,7
CITY,100680,"Hanford, CA (pop. 41K)",36.327,-119.645,1,5,7
CITY,100870,"Lathrop, CA (pop. 10K)",37.823,-121.276,1,5,7
CITY,100901,"Lincoln, CA (pop. 11K)",38.892,-121.292,1,5,7
CITY,101042,"Modesto, CA (pop. 188K)",37.617,-121,1,5,7
CITY,101095,"Needles, CA (pop. 4.8K)",34.848,-114.613,1,5,7
CITY,101148,"Oakland, CA (pop. 399K)",37.804,-122.27,1,5,7
CITY,101173,"Ontario, CA (pop. 158K)",34.063,-117.65,1,5,7
CITY,101280,"Portola, CA (pop. 2.2K)",39.811,-120.468,1,5,7
CITY,101315,"Redding, CA (pop. 80K)",40.587,-122.391,1,5,7
CITY,101370,"Salinas, CA (pop. 151K)",36.678,-121.654,1,5,7
CITY,101457,"Soledad, CA (pop. 11K)",36.425,-121.325,1,5,7
CITY,101565,"Truckee, CA (pop. 13K)",39.328,-120.182,1,5,7
CITY,101603,"Visalia, CA (pop. 91K)",36.33,-119.291,1,5,7
CITY,100340,"Coalinga, CA (pop. 11K)",36.14,-120.359,1,5,7
CITY,100464,"Dunsmuir, CA (pop. 1.9K)",41.22,-122.274,1,5,7
CITY,101050,"Monterey, CA (pop. 29K)",36.6,-121.894,1,5,7
CITY,101183,"Oroville, CA (pop. 13K)",39.514,-121.555,1,5,7
CITY,101222,"Pasadena, CA (pop. 133K)",34.148,-118.144,1,5,7
CITY,101236,"Petaluma, CA (pop. 54K)",38.233,-122.636,1,5,7
CITY,101323,"Richmond, CA (pop. 99K)",37.936,-122.347,1,5,7
CITY,101380,"San Jose, CA (pop. 894K)",37.335,-121.894,1,5,7
CITY,101503,"Stockton, CA (pop. 243K)",37.958,-121.29,1,5,7
CITY,100329,"Clearlake, CA (pop. 13K)",38.967,-122.633,1,5,7
CITY,100484,"El Centro, CA (pop. 37K)",32.792,-115.562,1,5,7
CITY,100513,"Escondido, CA (pop. 133K)",33.119,-117.086,1,5,7
CITY,100723,"Hollister, CA (pop. 34K)",36.852,-121.401,1,5,7
CITY,100825,"King City, CA (pop. 11K)",36.213,-121.125,1,5,7
CITY,100859,"Lancaster, CA (pop. 118K)",34.698,-118.136,1,5,7
CITY,100909,"Livermore, CA (pop. 73K)",37.682,-121.767,1,5,7
CITY,100916,"Lone Pine, CA (pop. 1.6K)",36.606,-118.062,1,5,7
CITY,100925,"Los Banos, CA (pop. 25K)",37.058,-120.849,1,5,7
